Customer_ID,Name,Gender,Age,City,Signup_Date,Last_Purchase_Date,Purchase_Amount,Feedback_Score,Email,Phone_Number,Country
CUST1000,Customer_0,female,67.0,mumbai,2020-01-01,2021-01-01,3358.0,10.0,user0@example.com,3422133361,india
CUST1001,Customer_1,male,29.0,delhi,2020-01-02,2021-01-02,39788.0,3.0,user1@example.com,6440093227,india
CUST1002,Customer_2,male,30.0,hyderabad,2020-01-03,2021-01-02,35877.0,8.0,user2@example.com,9916196985,india
CUST1003,Customer_3,female,51.0,mumbai,2020-01-04,2021-01-04,30644.0,9.0,user3@example.com,3838645834,india
CUST1005,Customer_5,female,20.0,chennai,2020-01-06,2021-01-06,31433.0,1.0,user5@example.com,6054788447,india
CUST1006,Customer_6,male,33.0,kolkata,2020-01-07,2021-01-07,10350.0,3.0,user6@example.com,8540359507,india
CUST1007,Customer_7,female,43.0,mumbai,2020-01-08,2021-01-07,32916.0,10.0,user7@example.com,7158945438,india
CUST1008,Customer_8,female,65.0,kolkata,2020-01-09,2021-01-09,28907.0,7.0,user8@example.com,6685708416,india
CUST1009,Customer_9,male,64.0,delhi,2020-01-10,2021-01-10,41136.0,8.0,user9@example.com,7094297309,india
CUST1010,Customer_10,female,68.0,delhi,2020-01-11,2021-01-11,21785.0,3.0,user10@example.com,7728243833,india
CUST1011,Customer_11,female,41.0,delhi,2020-01-12,2021-01-12,25319.0,8.0,user11@example.com,4601967175,india
CUST1012,Customer_12,female,27.0,mumbai,2020-01-13,2021-01-13,14358.0,1.0,user12@example.com,8542785290,india
CUST1013,Customer_13,male,59.0,delhi,2020-01-14,2021-01-14,32908.0,3.0,user13@example.com,2932458600,india
CUST1014,Customer_14,female,43.0,mumbai,2020-01-15,2021-01-15,25319.0,6.0,user14@example.com,6517479027,india
CUST1015,Customer_15,female,32.0,kolkata,2020-01-16,2021-01-16,16296.0,4.0,user15@example.com,6503730574,india
CUST1016,Customer_16,female,23.0,mumbai,2020-01-17,2021-01-17,25319.0,4.0,user16@example.com,7636271368,india
CUST1017,Customer_17,male,33.0,hyderabad,2020-01-18,2021-01-17,40857.0,5.0,user17@example.com,9674715557,india
CUST1018,Customer_18,female,23.0,hyderabad,2020-01-19,2021-01-17,39027.0,10.0,user18@example.com,3613009288,india
CUST1019,Customer_19,female,63.0,kolkata,2020-01-20,2021-01-20,33755.0,7.0,user19@example.com,1926699521,india
CUST1020,Customer_20,male,53.0,delhi,2020-01-21,2021-01-21,25833.0,10.0,user20@example.com,3370226098,india
CUST1021,Customer_21,female,57.0,hyderabad,2020-01-22,2021-01-22,25319.0,8.0,user21@example.com,7219039212,india
CUST1022,Customer_22,male,53.0,delhi,2020-01-23,2021-01-23,14477.0,3.0,user22@example.com,7838381177,india
CUST1025,Customer_25,male,42.0,kolkata,2020-01-26,2021-01-23,49637.0,10.0,user25@example.com,1254311328,india
CUST1026,Customer_26,female,24.0,mumbai,2020-01-27,2021-01-27,36789.0,9.0,user26@example.com,6383761936,india
CUST1027,Customer_27,male,26.0,delhi,2020-01-28,2021-01-28,27810.0,7.0,user27@example.com,3114090086,india
CUST1028,Customer_28,male,43.0,mumbai,2020-01-29,2021-01-29,4811.0,8.0,user28@example.com,3097420949,india
CUST1029,Customer_29,female,35.0,delhi,2020-01-30,2021-01-30,14053.0,9.0,user29@example.com,3356485651,india
CUST1030,Customer_30,female,46.0,kolkata,2020-01-31,2021-01-31,25319.0,8.0,user30@example.com,8231805211,india
CUST1031,Customer_31,male,27.0,mumbai,2020-02-01,2021-01-31,7970.0,4.0,user31@example.com,1318145759,india
CUST1032,Customer_32,female,48.0,chennai,2020-02-02,2021-01-31,43072.0,9.0,user32@example.com,3400333919,india
CUST1033,Customer_33,male,47.0,kolkata,2020-02-03,2021-02-03,32380.0,3.0,user33@example.com,3761875441,india
CUST1034,Customer_34,female,43.0,hyderabad,2020-02-04,2021-02-04,14316.0,5.0,user34@example.com,8890183326,india
CUST1035,Customer_35,male,31.0,mumbai,2020-02-05,2021-02-05,16608.0,3.0,user35@example.com,2101182446,india
CUST1036,Customer_36,male,50.0,kolkata,2020-02-06,2021-02-06,24611.0,5.0,user36@example.com,3417403552,india
CUST1037,Customer_37,male,50.0,mumbai,2020-02-07,2021-02-07,42647.0,1.0,user37@example.com,6278728523,india
CUST1038,Customer_38,male,63.0,mumbai,2020-02-08,2021-02-08,26120.0,7.0,user38@example.com,7639502037,india
CUST1039,Customer_39,female,18.0,mumbai,2020-02-09,2021-02-08,7675.0,9.0,user39@example.com,8202481267,india
CUST1040,Customer_40,female,39.0,hyderabad,2020-02-10,2021-02-10,32504.0,9.0,user40@example.com,2198384236,india
CUST1041,Customer_41,male,65.0,chennai,2020-02-11,2021-02-11,2277.0,3.0,user41@example.com,2534240089,india
CUST1042,Customer_42,male,34.0,mumbai,2020-02-12,2021-02-12,30165.0,1.0,user42@example.com,6039067723,india
CUST1043,Customer_43,female,31.0,mumbai,2020-02-13,2021-02-13,4933.0,3.0,user43@example.com,4538035715,india
CUST1044,Customer_44,male,38.0,hyderabad,2020-02-14,2021-02-14,25723.0,5.0,user44@example.com,8471896475,india
CUST1045,Customer_45,male,48.0,mumbai,2020-02-15,2021-02-15,19245.0,5.0,user45@example.com,1059601419,india
CUST1046,Customer_46,male,36.0,delhi,2020-02-16,2021-02-16,20775.0,7.0,user46@example.com,8425427477,india
CUST1047,Customer_47,female,19.0,kolkata,2020-02-17,2021-02-16,2538.0,2.0,user47@example.com,8787903696,india
CUST1048,Customer_48,female,43.0,chennai,2020-02-18,2021-02-16,48500.0,8.0,user48@example.com,6673728000,india
CUST1049,Customer_49,male,67.0,kolkata,2020-02-19,2021-02-19,36171.0,3.0,user49@example.com,8611095063,india
CUST1050,Customer_50,female,41.0,delhi,2020-02-20,2021-02-20,29620.0,5.0,user50@example.com,4325743419,india
CUST1051,Customer_51,male,49.0,kolkata,2020-02-21,2021-02-21,6688.0,3.0,user51@example.com,1095100539,india
CUST1053,Customer_53,male,36.0,mumbai,2020-02-23,2021-02-23,8238.0,5.0,user53@example.com,9334441055,india
CUST1054,Customer_54,male,43.0,delhi,2020-02-24,2021-02-24,25319.0,1.0,user54@example.com,3136213774,india
CUST1055,Customer_55,female,18.0,hyderabad,2020-02-25,2021-02-25,4369.0,9.0,user55@example.com,7208659822,india
CUST1056,Customer_56,male,32.0,hyderabad,2020-02-26,2021-02-26,33835.0,1.0,user56@example.com,985222408,india
CUST1057,Customer_57,female,40.0,mumbai,2020-02-27,2021-02-27,25319.0,1.0,user57@example.com,5070491514,india
CUST1058,Customer_58,female,43.0,delhi,2020-02-28,2021-02-28,34683.0,8.0,user58@example.com,2721802166,india
CUST1060,Customer_60,male,20.0,delhi,2020-03-01,2021-03-02,5133.0,5.0,user60@example.com,2489433429,india
CUST1061,Customer_61,female,49.0,hyderabad,2020-03-02,2021-03-03,0.0,7.0,user61@example.com,979022095,india
CUST1062,Customer_62,male,23.0,mumbai,2020-03-03,2021-03-04,12476.0,10.0,user62@example.com,9332361201,india
CUST1063,Customer_63,female,21.0,mumbai,2020-03-04,2021-03-05,25319.0,4.0,user63@example.com,2515240239,india
CUST1064,Customer_64,female,38.0,mumbai,2020-03-05,2021-03-06,30121.0,7.0,user64@example.com,5668239531,india
CUST1065,Customer_65,male,38.0,kolkata,2020-03-06,2021-03-07,24292.0,10.0,user65@example.com,9079990949,india
CUST1066,Customer_66,male,35.0,delhi,2020-03-07,2021-03-08,8171.0,5.0,user66@example.com,7751121442,india
CUST1067,Customer_67,male,56.0,hyderabad,2020-03-08,2021-03-09,25319.0,4.0,user67@example.com,8214550575,india
CUST1068,Customer_68,female,52.0,chennai,2020-03-09,2021-03-10,15250.0,8.0,user68@example.com,9338971123,india
CUST1069,Customer_69,female,67.0,delhi,2020-03-10,2021-03-11,38878.0,4.0,user69@example.com,6660840781,india
CUST1070,Customer_70,female,43.0,chennai,2020-03-11,2021-03-12,27818.0,3.0,user70@example.com,9514038828,india
CUST1072,Customer_72,female,56.0,mumbai,2020-03-13,2021-03-14,25319.0,2.0,user72@example.com,6731298229,india
CUST1073,Customer_73,female,21.0,chennai,2020-03-14,2021-03-15,25708.0,6.0,user73@example.com,4580174731,india
CUST1074,Customer_74,female,20.0,mumbai,2020-03-15,2021-03-16,46830.0,5.0,user74@example.com,3501706669,india
CUST1076,Customer_76,male,27.0,mumbai,2020-03-17,2021-03-18,45419.0,6.0,user76@example.com,7371732676,india
CUST1077,Customer_77,male,43.0,mumbai,2020-03-18,2021-03-19,9424.0,5.0,user77@example.com,7012623009,india
CUST1078,Customer_78,male,36.0,kolkata,2020-03-19,2021-03-19,35804.0,6.0,user78@example.com,4380571165,india
CUST1079,Customer_79,male,60.0,mumbai,2020-03-20,2021-03-21,3000.0,7.0,user79@example.com,4114025851,india
CUST1080,Customer_80,female,30.0,chennai,2020-03-21,2021-03-22,13138.0,9.0,user80@example.com,6925257966,india
CUST1081,Customer_81,female,53.0,hyderabad,2020-03-22,2021-03-23,49751.0,7.0,user81@example.com,8578147510,india
CUST1082,Customer_82,male,60.0,chennai,2020-03-23,2021-03-24,16348.0,5.0,user82@example.com,1926827744,india
CUST1083,Customer_83,male,43.0,chennai,2020-03-24,2021-03-25,2886.0,5.0,user83@example.com,5441011305,india
CUST1084,Customer_84,male,27.0,kolkata,2020-03-25,2021-03-26,42664.0,7.0,user84@example.com,2189699083,india
CUST1085,Customer_85,male,38.0,hyderabad,2020-03-26,2021-03-27,43973.0,5.0,user85@example.com,5059562794,india
CUST1086,Customer_86,male,42.0,mumbai,2020-03-27,2021-03-28,40277.0,5.0,user86@example.com,9983496760,india
CUST1087,Customer_87,female,39.0,delhi,2020-03-28,2021-03-29,2365.0,9.0,user87@example.com,7882816169,india
CUST1088,Customer_88,female,34.0,delhi,2020-03-29,2021-03-29,36229.0,4.0,user88@example.com,3256048103,india
CUST1089,Customer_89,female,52.0,mumbai,2020-03-30,2021-03-31,46362.0,5.0,user89@example.com,3096422912,india
CUST1090,Customer_90,female,26.0,hyderabad,2020-03-31,2021-04-01,18900.0,3.0,user90@example.com,7714598800,india
CUST1091,Customer_91,male,27.0,chennai,2020-04-01,2021-04-02,8854.0,9.0,user91@example.com,8729190924,india
CUST1092,Customer_92,male,43.0,hyderabad,2020-04-02,2021-04-03,38628.0,9.0,user92@example.com,3419645324,india
CUST1093,Customer_93,female,36.0,kolkata,2020-04-03,2021-04-03,44885.0,6.0,user93@example.com,4365835436,india
CUST1096,Customer_96,male,27.0,kolkata,2020-04-06,2021-04-07,3525.0,3.0,user96@example.com,5581689843,india
CUST1097,Customer_97,male,58.0,chennai,2020-04-07,2021-04-08,25319.0,4.0,user97@example.com,2488849627,india
CUST1098,Customer_98,female,44.0,mumbai,2020-04-08,2021-04-09,42407.0,5.0,user98@example.com,7477188444,india
