index,Customer_ID,Name,Gender,Age,City,Signup_Date,Last_Purchase_Date,Purchase_Amount,Feedback_Score,Email,Phone_Number,Country
0,CUST1000,Customer_0,f,32 years,kolkata,2020-01-01 00:00:00,2021-01-01 00:00:00,NaN,7.0,user0@example.com,8218057964,India
1,CUST1001,Customer_1,M,21,Kolkata,2020-01-02 00:00:00,2021-01-02 00:00:00,35852.0,7.0,user1@example.com,3911310504,India
2,CUST1002,Customer_2,M,68,Mumbai,2020-01-03 00:00:00,2021-01-03 00:00:00,7719.0,6.0,user2@example.com,1358538418,India
3,CUST1003,Customer_3,F,21,Kolkata,2020-01-04 00:00:00,2021-01-04 00:00:00,43032.0,2.0,user3@example.com,5197375516,India
4,CUST1004,Customer_4,NaN,30,Chennai,2020-01-05 00:00:00,NaT,13172.0,5.0,user4@example.com,4614959555,india
5,CUST1005,Customer_5,NaN,34,Delhi,2020-01-06 00:00:00,2021-01-06 00:00:00,NaN,7.0,user5@example.com,6655364649,India
6,CUST1006,Customer_6,M,NaN,NaN,2020-01-07 00:00:00,2021-01-07 00:00:00,26167.0,2.0,user6@example.com,4508429940,India
7,NaN,Customer_7,M,64,NaN,2020-01-08 00:00:00,NaT,44218.0,1.0,user7@example.com,3508148422,India
8,CUST1008,Customer_8,M,61,Mumbai,2020-01-09 00:00:00,2021-01-09 00:00:00,5914.0,4.0,user8@example.com,7013091924,India
9,CUST1009,Customer_9,f,29,mumbai,2020-01-10 00:00:00,2021-01-10 00:00:00,3138.0,6.0,user9@example.com,6576512003,India
10,CUST1010,Customer_10,F,46,Kolkata,2020-01-11 00:00:00,NaT,1633.0,6.0,user10@example.com,7505492970,NaN
11,CUST1011,Customer_11,M,56,NaN,2020-01-12 00:00:00,2021-01-12 00:00:00,NaN,3.0,user11@example.com,977760306,India
12,CUST1012,Customer_12,M,19 years,chennai,2020-01-13 00:00:00,2021-01-13 00:00:00,29191.0,3.0,user12@example.com,4385545871,india
13,CUST1013,Customer_13,NaN,48,Chennai,2020-01-14 00:00:00,2021-01-14 00:00:00,26985.0,1.0,user13@example.com,4930903927,india
14,CUST1014,Customer_14,F,41,Hyderabad,2020-01-15 00:00:00,2021-01-15 00:00:00,34390.0,9.0,user14@example.com,7848465889,India
15,CUST1015,Customer_15,M,58,delhi,2020-01-16 00:00:00,2021-01-16 00:00:00,34905.0,9.0,user15@example.com,9592852119,India
16,CUST1016,Customer_16,F,58,Mumbai,2020-01-17 00:00:00,NaT,46708.0,7.0,user16@example.com,9605818256,India
17,CUST1017,Customer_17,M,47,Chennai,2020-01-18 00:00:00,2021-01-18 00:00:00,NaN,5.0,user17@example.com,1756931340,India
18,CUST1018,Customer_18,M,38,Delhi,2020-01-19 00:00:00,2021-01-19 00:00:00,14015.0,6.0,user18@example.com,1895058078,India
19,CUST1019,Customer_19,f,23,mumbai,2020-01-20 00:00:00,2021-01-20 00:00:00,2584.0,10.0,user19@example.com,2857639956,India
20,CUST1020,Customer_20,NaN,35 years,chennai,2020-01-21 00:00:00,2021-01-21 00:00:00,15840.0,9.0,user20@example.com,1335880670,India
21,CUST1021,Customer_21,F,45,Kolkata,2020-01-22 00:00:00,2021-01-22 00:00:00,NaN,10.0,user21@example.com,4992193890,India
22,CUST1022,Customer_22,M,NaN,Chennai,2020-01-23 00:00:00,NaT,29915.0,4.0,user22@example.com,2907724733,India
23,CUST1023,Customer_23,F,NaN,Delhi,2020-01-24 00:00:00,2021-01-24 00:00:00,6445.0,6.0,user23@example.com,9515556103,India
24,CUST1024,Customer_24,NaN,NaN,Delhi,2020-01-25 00:00:00,2021-01-25 00:00:00,26629.0,9.0,user24@example.com,4722750498,india
25,CUST1025,Customer_25,M,51,DELHI,2020-01-26 00:00:00,NaT,17337.0,1.0,user25@example.com,1936779609,India
26,CUST1026,Customer_26,F,61,Chennai,2020-01-27 00:00:00,NaT,28787.0,1.0,user26@example.com,6229389032,India
27,CUST1027,Customer_27,M,28,Hyderabad,2020-01-28 00:00:00,2021-01-28 00:00:00,4469.0,3.0,user27@example.com,3311249654,India
28,CUST1028,Customer_28,NaN,34,Chennai,2020-01-29 00:00:00,NaT,36712.0,NaN,user28@example.com,8225952432,India
29,NaN,Customer_29,M,26,Mumbai,2020-01-30 00:00:00,2021-01-30 00:00:00,5287.0,3.0,user29@example.com,1260864207,india
30,CUST1030,Customer_30,f,37 years,Chennai,2020-01-31 00:00:00,2021-01-31 00:00:00,37468.0,4.0,user30@example.com,6002825257,India
31,CUST1031,Customer_31,NaN,44,Kolkata,2020-02-01 00:00:00,2021-02-01 00:00:00,44433.0,2.0,user31@example.com,2297104279,India
32,CUST1032,Customer_32,F,33,Chennai,2020-02-02 00:00:00,NaT,34246.0,4.0,user32@example.com,5512644397,India
33,NaN,Customer_33,female,32,Delhi,2020-02-03 00:00:00,2021-02-03 00:00:00,29666.0,9.0,user33@example.com,2933315691,India
34,CUST1034,Customer_34,F,63,delhi,2020-02-04 00:00:00,2021-02-04 00:00:00,9999999.0,8.0,user34@example.com,7994395213,India
35,CUST1035,Customer_35,female,NaN,HYDERABAD,2020-02-05 00:00:00,2021-02-05 00:00:00,13217.0,10.0,user35@example.com,3313813799,NaN
36,CUST1036,Customer_36,F,NaN,Mumbai,2020-02-06 00:00:00,2021-02-06 00:00:00,37617.0,NaN,user36@example.com,9994106412,india
37,CUST1037,Customer_37,M,49,MUMBAI,2020-02-07 00:00:00,2021-02-07 00:00:00,40519.0,3.0,user37@example.com,3700501646,India
38,CUST1038,Customer_38,F,35,NaN,2020-02-08 00:00:00,2021-02-08 00:00:00,26427.0,7.0,user38@example.com,8643684719,India
39,CUST1039,Customer_39,M,44,Hyderabad,2020-02-09 00:00:00,NaT,20913.0,9.0,user39@example.com,1553706256,NaN
40,CUST1040,Customer_40,M,37,Delhi,2020-02-10 00:00:00,2021-02-10 00:00:00,2979.0,3.0,user40@example.com,4601798608,India
41,CUST1041,Customer_41,M,50,DELHI,2020-02-11 00:00:00,2021-02-11 00:00:00,NaN,5.0,user41@example.com,6868856157,India
42,CUST1042,Customer_42,F,63,kolkata,2020-02-12 00:00:00,2021-02-12 00:00:00,12446.0,1.0,user42@example.com,7391981952,India
43,CUST1043,Customer_43,F,61,Hyderabad,2020-02-13 00:00:00,2021-02-13 00:00:00,11972.0,3.0,user43@example.com,9256165541,india
